clip	codec	sha256_rgb24_firstframe	luma8x8_hex
badapple_ffv1.mkv	ffv1	0b150fd32588b1daca5569992ebe559c0102c837306b1af4c44d35128ec58366	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
badapple_h264.mp4	h264	0b150fd32588b1daca5569992ebe559c0102c837306b1af4c44d35128ec58366	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
badapple_h265.mp4	hevc	0b150fd32588b1daca5569992ebe559c0102c837306b1af4c44d35128ec58366	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
badapple_vp9.webm	vp9	0b150fd32588b1daca5569992ebe559c0102c837306b1af4c44d35128ec58366	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
